title,id,office,publish,expiry,type,status,url,sentence,province,year,cosine_score,topic
榆林市文明行为促进条例,ZmY4MDgxODE4NjAyNGRmMzAxODYxNTFmOTkwMzdiYzc%3D,榆林市人民代表大会常务委员会,2022-04-26T00:00:00Z,2022-06-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4NjAyNGRmMzAxODYxNTFmOTkwMzdiYzc%3D,第十八条  公民应当文明就医，尊重和配合医疗卫生人员工作，遵守诊疗制度和医疗卫生服务秩序，不得侮辱、诽谤、威胁、殴打医疗卫生人员，通过合法途径解决医疗纠纷，不得在医疗场所聚众闹事。,陕西省,2022,0.461456576742982,public_health
西宁市文明行为促进条例,MmM5MGU1Yjk2YzEyOGI0YzAxNmQyNDczZjk1NDI1ZGU%3D,西宁市人民代表大会常务委员会,2019-08-26T00:00:00Z,2019-10-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1Yjk2YzEyOGI0YzAxNmQyNDczZjk1NDI1ZGU%3D,（二）公民应当文明就医，尊重医务人员，配合开展诊疗活动，通过合法途径处理医疗纠纷，不得扰乱正常的医疗秩序。,青海省,2019,0.460693889528513,public_health
攀枝花市文明行为促进条例,ZmY4MDgxODE4MzY0ZDlmNjAxODM3Y2MzNzcxNzMzNzM%3D,攀枝花市人民代表大会常务委员会,2022-08-03T00:00:00Z,2022-08-15T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4MzY0ZDlmNjAxODM3Y2MzNzcxNzMzNzM%3D,第十八条  文明就医，尊重医务人员，配合诊疗，不影响医疗机构正常秩序；通过合法途径处理医疗纠纷，依法维权、文明维权。,四川省,2022,0.46038975028017,public_health
咸宁市文明行为促进条例,ZmY4MDgxODE4MDllMjI3MjAxODBhN2Y5ZjhkNDQ5ZTU%3D,咸宁市人民代表大会常务委员会,2022-04-26T00:00:00Z,2022-10-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4MDllMjI3MjAxODBhN2Y5ZjhkNDQ5ZTU%3D,第十六条  公民应当文明就医，遵守诊疗制度和医疗卫生服务秩序，尊重医疗卫生人员，配合开展诊疗活动，依法解决医疗纠纷，不威胁、辱骂、伤害医疗卫生人员和在医疗场所聚众滋事。,湖北省,2022,0.460202078276583,public_health
普洱市文明行为促进条例,ZmY4MDgwODE3NDkxNTdiMjAxNzQ5ZjAyYzNmZDA1YmI%3D,普洱市人民代表大会常务委员会,2020-07-31T00:00:00Z,2020-09-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NDkxNTdiMjAxNzQ5ZjAyYzNmZDA1YmI%3D,第十五条  公民应当文明就医，尊重医务人员，配合开展诊疗活动，维护正常的医疗秩序，通过合法途径处理医疗纠纷。,云南省,2020,0.45982295069163,public_health
丽水市文明行为促进条例,ZmY4MDgwODE3NGJmOTdkMjAxNzRjZDc0M2M5MzA4N2Y%3D,丽水市人民代表大会常务委员会,2020-08-14T00:00:00Z,2020-11-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NGJmOTdkMjAxNzRjZDc0M2M5MzA4N2Y%3D,（八）文明就医，尊重医务人员，遵守医疗机构管理秩序，理性处理医疗纠纷，共同建立和谐、有序的医患关系；,浙江省,2020,0.459540922440455,public_health
海西蒙古族藏族自治州文明行为促进条例,ZmY4MDgxODE3YTc2M2UwODAxN2E4MDIwNGQzOTExZDU%3D,海西蒙古族藏族自治州人大常务委员会,2021-06-24T00:00:00Z,2021-07-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3YTc2M2UwODAxN2E4MDIwNGQzOTExZDU%3D,（三）文明就医，尊重医务人员，配合开展诊疗活动，理性处理医疗争议，依法表达合理诉求，不得扰乱正常的医疗秩序；,青海省,2021,0.458881258348491,public_health
贵州省文明行为促进条例,NDAyOGFiY2M2MTI3Nzc5MzAxNjEyODJhNGM3ZDZkMzQ%3D,贵州省人民代表大会常务委员会,2017-08-03T00:00:00Z,2017-10-01T00:00:00Z,地方性法规,5,./detail2.html?NDAyOGFiY2M2MTI3Nzc5MzAxNjEyODJhNGM3ZDZkMzQ%3D,第十七条  公民应当文明就医，尊重医学规律和医务人员，配合开展诊疗活动，不得侮辱、谩骂、威胁、殴打、挟持医务人员；通过合法途径处理医疗纠纷，不得在医疗场所聚众闹事。,贵州省,2017,0.458226185777688,public_health
贵州省文明行为促进条例,ZmY4MDgxODE4MzY0ZDkwMzAxODNjMTA2NzZhMTVmYzE%3D,贵州省人民代表大会常务委员会,2021-11-26T00:00:00Z,2021-12-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4MzY0ZDkwMzAxODNjMTA2NzZhMTVmYzE%3D,第十七条  公民应当文明就医，尊重医学规律和医务人员，配合开展诊疗活动，不得侮辱、谩骂、威胁、殴打、挟持医务人员；通过合法途径处理医疗纠纷，不得在医疗场所聚众闹事。,贵州省,2021,0.458226185777688,public_health
襄阳市文明行为促进条例,MmM5MGU1YmE2ODFjZTBkNDAxNjg1NTMxZjZhZTBkNjM%3D,襄阳市人民代表大会常务委员会,2018-12-18T00:00:00Z,2019-03-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmE2ODFjZTBkNDAxNjg1NTMxZjZhZTBkNjM%3D,（五）文明就医，自觉维护医疗场所秩序，不在医疗场所闹事；,湖北省,2018,0.45761152903218,public_health
三明市公共文明行为促进条例,ZmY4MDgwODE3NTI2NWRkNDAxNzU3MjZlNzI4ODQwMjI%3D,三明市人民代表大会常务委员会,2020-09-29T00:00:00Z,2020-12-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTI2NWRkNDAxNzU3MjZlNzI4ODQwMjI%3D,第十四条  公民就医应当尊重和配合医护人员工作，遵守各项诊疗服务制度，依法、有序、文明处理医疗纠纷。,福建省,2020,0.457527329915117,public_health
昭通市文明行为促进条例,ZmY4MDgxODE4Nzc0ZjU0MTAxODc4ZTBkZjkzYTQ2OTE%3D,昭通市人民代表大会常务委员会,2023-03-28T00:00:00Z,2023-05-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4Nzc0ZjU0MTAxODc4ZTBkZjkzYTQ2OTE%3D,（二）恪守医德，尊重患者，规范提供诊疗服务，不过度诊疗；,云南省,2023,0.45730884095062,public_health
淄博市文明行为促进条例,MmM5MGU1Yjk2YzEyOGI0YzAxNmUxMDU4NDQ3MTU0ZGU%3D,淄博市人民代表大会常务委员会,2019-09-29T00:00:00Z,2019-11-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1Yjk2YzEyOGI0YzAxNmUxMDU4NDQ3MTU0ZGU%3D,（四）文明就医，维护医疗秩序，医患相互尊重，通过合法途径处理医疗纠纷；,山东省,2019,0.457056430798939,public_health
南平市文明行为促进条例,ZmY4MDgxODE3ZmQ5ODYyNTAxODA0NjMxMTM2OTM2YTI%3D,南平市人民代表大会常务委员会,2022-04-01T00:00:00Z,2022-06-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3ZmQ5ODYyNTAxODA0NjMxMTM2OTM2YTI%3D,第十九条  公民应当文明就医，遵守下列行为规范：,福建省,2022,0.456428342138791,public_health
徐州市文明行为促进条例,ZmY4MDgwODE3NzdkMDdjNTAxNzc3Zjg2ZjRjNzAzMTU%3D,徐州市人民代表大会常务委员会,2021-02-02T00:00:00Z,2021-03-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NzdkMDdjNTAxNzc3Zjg2ZjRjNzAzMTU%3D,第十七条　公民应当文明就医，尊重医学规律和医务人员，配合开展诊疗活动，不得侮辱、谩骂、威胁、殴打、挟持医务人员；通过合法途径处理医疗纠纷，不得在医疗场所寻衅滋事、聚众闹事。,江苏省,2021,0.454490368304347,public_health
金昌市文明行为促进条例,ZmY4MDgwODE3NmQ4M2U0YTAxNzZmMDY0ZGNjMTEwMjk%3D,金昌市人民代表大会常务委员会,2020-12-14T00:00:00Z,2021-03-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NmQ4M2U0YTAxNzZmMDY0ZGNjMTEwMjk%3D,第十六条  文明就医，遵守秩序，保持安静，服从指导管理，尊重医学规律。依法处理医疗纠纷，不得侮辱、谩骂、威胁、殴打、挟持医务人员，不得损坏公共财产，不得聚众滋事。,甘肃省,2020,0.454212368665487,public_health
西安市文明行为促进条例,MmM5MGU1YmI2ODFjZTEyODAxNjg0ZjJmOGU4YzBjMDQ%3D,西安市人民代表大会常务委员会,2018-08-15T00:00:00Z,2018-09-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmI2ODFjZTEyODAxNjg0ZjJmOGU4YzBjMDQ%3D,第十七条  公民应当文明就医，尊重医务人员和医学规律，配合开展诊疗活动，通过合法途径处理医疗纠纷，不得侮辱、谩骂、威胁、殴打医务人员或者扰乱正常的诊疗秩序。,陕西省,2018,0.453015447708879,public_health
邢台市文明行为促进条例,ZmY4MDgxODE3ZTAwOGM0MzAxN2UwNTYxMTdkYjBlNDg%3D,邢台市人民代表大会常务委员会,2021-12-08T00:00:00Z,2022-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3ZTAwOGM0MzAxN2UwNTYxMTdkYjBlNDg%3D,（七）遵守就医就诊文明规范，医护人员关心爱护、平等对待患者，保护患者隐私；就诊人员尊重和理解医护人员，听从工作人员指引，不干扰正常诊疗秩序；,河北省,2021,0.452950656221859,public_health
哈尔滨市文明行为促进条例,ZmY4MDgwODE3MzZiYjE5ZDAxNzM2ZjBkOTk3ZDAxODk%3D,哈尔滨市人民代表大会常务委员会,2019-12-24T00:00:00Z,2020-03-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MzZiYjE5ZDAxNzM2ZjBkOTk3ZDAxODk%3D,第十三条  公民应当文明就医，遵守医疗机构管理规定，尊重医务人员，配合开展诊疗活动，通过合法途径解决医疗纠纷。,黑龙江省,2019,0.452708120568443,public_health
昆明市文明行为促进条例,MmM5MGU1YmI2NWM2OGNmZDAxNjY4MGUwM2I2ZjA1ZjQ%3D,昆明市人民代表大会常务委员会,2018-09-30T00:00:00Z,2018-12-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmI2NWM2OGNmZDAxNjY4MGUwM2I2ZjA1ZjQ%3D,（五）文明就医，遵循医学规律，配合诊疗，维护正常的医疗秩序，通过正当途径处理医疗纠纷；,云南省,2018,0.452701071421947,public_health
本溪市文明行为促进条例,ZmY4MDgxODE3ZDI4MzdkMjAxN2QzNjUxNTE3MjNlZTE%3D,本溪市人民代表大会常务委员会,2021-10-15T00:00:00Z,2022-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3ZDI4MzdkMjAxN2QzNjUxNTE3MjNlZTE%3D,（七）文明就医。遵守医疗机构管理规定，尊重医务人员，配合开展诊疗活动，通过合法途径解决医疗纠纷，构建和谐医患关系；,辽宁省,2021,0.452547091201225,public_health
宣城市文明行为促进条例,MmM5MGU1YmE2NWM2OGNmNzAxNjZmNjIwMjE5YzEyZDI%3D,宣城市人民代表大会常务委员会,2018-10-19T00:00:00Z,2019-01-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmE2NWM2OGNmNzAxNjZmNjIwMjE5YzEyZDI%3D,第十六条  公民应当文明就医，尊重医务人员，不影响医疗机构正常秩序；发生医疗纠纷，应当通过合法途径处理，不在医疗场所聚众闹事。,安徽省,2018,0.452431732411755,public_health
长春市文明行为促进条例,ZmY4MDgwODE3MWU5ZTE4MTAxNzI3OGI0YjU2Njc0YjY%3D,长春市人民代表大会常务委员会,2020-04-03T00:00:00Z,2020-05-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MWU5ZTE4MTAxNzI3OGI0YjU2Njc0YjY%3D,（七）文明就医，遵循医学规律，配合诊疗，维护正常的医疗秩序，通过正当途径处理医疗纠纷；,吉林省,2020,0.451727977709116,public_health
晋城市文明行为促进条例,MmM5MGU1YmE2OTJlN2Y4MjAxNjk0NjVmOTQ0MDFhOGY%3D,晋城市人民代表大会常务委员会,2018-09-30T00:00:00Z,2018-10-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmE2OTJlN2Y4MjAxNjk0NjVmOTQ0MDFhOGY%3D,（八）文明就医，尊重医务人员；,山西省,2018,0.451490383702009,public_health
黄冈市文明行为促进条例,ZmY4MDgwODE3NmY0ZGYzNzAxNzZmOWM2ZGI5YTA2MGE%3D,黄冈市人民代表大会常务委员会,2020-12-16T00:00:00Z,2021-03-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NmY0ZGYzNzAxNzZmOWM2ZGI5YTA2MGE%3D,（三）尊医重卫，文明就医，遵守各项诊疗服务制度，尊重和配合医护人员工作，通过合法途径和程序处理医疗纠纷，维护正常医疗秩序；,湖北省,2020,0.451175467208236,public_health
聊城市文明行为促进条例,ZmY4MDgwODE2ZmJjNTdjMTAxNzAyZTA3M2YyNDRhODE%3D,聊城市人民代表大会常务委员会,2019-12-04T00:00:00Z,2020-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE2ZmJjNTdjMTAxNzAyZTA3M2YyNDRhODE%3D,第十二条  文明就医，尊重医务人员，不影响医务人员为他人诊疗，不影响医疗机构正常秩序。发生医疗纠纷时，通过合法途径、方法和程序解决。,山东省,2019,0.450954486694544,public_health
临汾市文明行为促进条例,ZmY4MDgwODE3N2U3NTdhYzAxNzgwMDNhM2Y2NTFhNmI%3D,临汾市人民代表大会常务委员会,2020-12-11T00:00:00Z,2021-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3N2U3NTdhYzAxNzgwMDNhM2Y2NTFhNmI%3D,第十八条  公民应当文明就医，维护正常医疗秩序，不得侮辱、诽谤、威胁、殴打医务人员，不得在医疗场所聚众闹事。,山西省,2020,0.4509301066973,public_health
广西壮族自治区文明行为促进条例,MmM5MGU1Yjk2YzEyOGI0YzAxNmNjYmUwYjJhNTExYzI%3D,广西壮族自治区人大常务委员会,2019-07-25T00:00:00Z,2019-09-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1Yjk2YzEyOGI0YzAxNmNjYmUwYjJhNTExYzI%3D,第二十三条 公民应当文明就医，尊重医学规律和医务人员，配合开展诊疗活动，不得侮辱、谩骂、威胁、殴打、挟持医务人员；通过合法途径处理医疗纠纷，不得在医疗场所聚众闹事。,广西壮族自治区,2019,0.450665562977399,public_health
大连市文明行为促进条例,ZmY4MDgwODE3MTM5MjdkMTAxNzE4NmQ1ZDRhOTYwOTM%3D,大连市人民代表大会常务委员会,2019-10-22T00:00:00Z,2020-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MTM5MjdkMTAxNzE4NmQ1ZDRhOTYwOTM%3D,第十七条  倡导公民文明就医，遵守医疗机构管理规定，尊重医务人员，维护正常医疗秩序。,辽宁省,2019,0.450319965521012,public_health
达州市文明行为促进条例,ZmY4MDgwODE3NDg2MTYzZTAxNzQ5MTE0ZjQyZDA3ZjE%3D,达州市人民代表大会常务委员会,2020-08-10T00:00:00Z,2020-09-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NDg2MTYzZTAxNzQ5MTE0ZjQyZDA3ZjE%3D,（七）文明就医，尊重医务人员，遵守医疗秩序，理性表达诉求，依法处理医疗纠纷。,四川省,2020,0.450180481214635,public_health
滁州市文明行为促进条例,ZmY4MDgwODE2ZmJjNTdjMTAxNmZjYjFlMWRjMjFhMzI%3D,滁州市人民代表大会常务委员会,2020-01-03T00:00:00Z,2020-02-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE2ZmJjNTdjMTAxNmZjYjFlMWRjMjFhMzI%3D,（十）文明就医、尊重医务人员，救死扶伤、关爱患者，依法处理医疗纠纷，维护医疗机构正常秩序；,安徽省,2020,0.450157461035053,public_health
伊春市文明行为促进条例,ZmY4MDgxODE3YmRkN2ZiNzAxN2JlMzEwYWY3NjNhNmY%3D,伊春市人民代表大会常务委员会,2021-08-23T00:00:00Z,2021-09-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3YmRkN2ZiNzAxN2JlMzEwYWY3NjNhNmY%3D,（五）文明行医，文明就医，维护和谐医疗秩序；,黑龙江省,2021,0.450137765041562,public_health
赣州市文明行为促进条例,ZmY4MDgwODE3NTI2NWRkNDAxNzVlMzlhZGU3MDBkZWM%3D,赣州市人民代表大会常务委员会,2020-10-21T00:00:00Z,2020-12-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTI2NWRkNDAxNzVlMzlhZGU3MDBkZWM%3D,第二十条  文明就医，遵守下列规范：,江西省,2020,0.450051234608311,public_health
遂宁市文明行为促进条例,ZmY4MDgwODE3NTI2NWRkNDAxNzU2NDE3NDllODJmMWM%3D,遂宁市人民代表大会常务委员会,2020-10-12T00:00:00Z,2020-11-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTI2NWRkNDAxNzU2NDE3NDllODJmMWM%3D,（七）文明就医，尊重医护人员和其他就医者，遵守医疗机构秩序，依法处理医疗纠纷；,四川省,2020,0.449676257380651,public_health
吉林市文明行为促进条例,ZmY4MDgwODE3NTI2NWRkNDAxNzY4ODRhMzlkYzA2N2I%3D,吉林市人民代表大会常务委员会,2020-08-07T00:00:00Z,2020-08-07T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTI2NWRkNDAxNzY4ODRhMzlkYzA2N2I%3D,（七）文明行医就医。医院及医护人员应当弘扬医德医风，提供适当且优质的医疗服务；患者及家属应当遵守医院相关规定配合诊疗，维护正常医疗秩序，通过合法途径解决医疗纠纷。,吉林省,2020,0.449558751651078,public_health
黄山市文明行为促进条例,ZmY4MDgwODE3NTJiN2Q0MzAxNzYxY2UwMzk4ZjQ3ZDY%3D,黄山市人民代表大会常务委员会,2020-10-20T00:00:00Z,2020-12-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTJiN2Q0MzAxNzYxY2UwMzk4ZjQ3ZDY%3D,（十二）文明就医，尊重医务人员，理性表达诉求，维护医疗机构正常秩序；,安徽省,2020,0.44901569102878,public_health
安阳市文明行为促进条例,ZmY4MDgwODE3NTI2NWRkNDAxNzY3MGNkYjMyMDc2ZmE%3D,安阳市人民代表大会常务委员会,2020-10-16T00:00:00Z,2021-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTI2NWRkNDAxNzY3MGNkYjMyMDc2ZmE%3D,（六）文明就医，尊重医务人员，不扰乱正常的医疗秩序；,河南省,2020,0.448222438775205,public_health
萍乡市文明行为促进条例,ZmY4MDgwODE3MzZiYTc0MjAxNzQwZTkwNDg2OTU0ODA%3D,萍乡市人民代表大会常务委员会,2020-07-31T00:00:00Z,2020-09-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MzZiYTc0MjAxNzQwZTkwNDg2OTU0ODA%3D,（十一）就医时，遵守医疗秩序，医患相互尊重，协商、依法处理医疗纠纷；,江西省,2020,0.446866307436496,public_health
内蒙古自治区文明行为促进条例,ZmY4MDgxODE3YjUyYjFiMDAxN2I1MzMzOTM2ZDAyZTU%3D,内蒙古自治区人民代表大会常务委员会,2020-09-23T00:00:00Z,2020-12-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3YjUyYjFiMDAxN2I1MzMzOTM2ZDAyZTU%3D,第十八条　文明就医行医，遵守下列行为规范：,内蒙古自治区,2020,0.446377871923878,public_health
黄石市文明行为促进条例,ZmY4MDgwODE3MzZiYTc0MjAxNzQ0MmU0MDAzODAxNTQ%3D,黄石市人民代表大会常务委员会,2020-07-31T00:00:00Z,2020-10-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MzZiYTc0MjAxNzQ0MmU0MDAzODAxNTQ%3D,第十四条  公民应当文明就医，配合开展诊疗活动，自觉维护正常的医疗秩序，不侮辱、谩骂、威胁、殴打医务人员，不在医疗场所聚众闹事。,湖北省,2020,0.446098522793602,public_health
宿迁市文明行为促进条例,ZmY4MDgwODE2ZmJjNTdjMTAxNzEyYTY0YzQ4ZjQwZmU%3D,宿迁市人民代表大会常务委员会,2020-03-11T00:00:00Z,2020-07-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE2ZmJjNTdjMTAxNzEyYTY0YzQ4ZjQwZmU%3D,（五）就医文明，尊重医务人员，遵守医疗机构管理制度，通过合法途径处理医疗纠纷；,江苏省,2020,0.445871079137844,public_health
安庆市文明行为促进条例,ZmY4MDgxODE4NDQyMzBlYzAxODQ0ZmM4ZjFkNTMyOTQ%3D,安庆市人民代表大会常务委员会,2022-10-14T00:00:00Z,2023-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4NDQyMzBlYzAxODQ0ZmM4ZjFkNTMyOTQ%3D,医务人员应当文明行医，履行防病治病、救死扶伤、保护人民健康的职责，因病施治、合理医疗；关心、爱护患者，尊重患者的知情同意权，保护患者隐私，维护患者合法权益。,安徽省,2022,0.445600516952218,public_health
阜阳市文明行为促进条例,ZmY4MDgwODE3NmY0ZGYzNzAxNzczZDg2N2NkYTVkZWQ%3D,阜阳市人民代表大会常务委员会,2021-01-04T00:00:00Z,2021-03-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NmY0ZGYzNzAxNzczZDg2N2NkYTVkZWQ%3D,第十六条  公民应当文明就医，尊重医务人员，配合诊疗，通过合法途径解决医疗纠纷，不辱骂、威胁、殴打医务人员或者以其他方式扰乱正常诊疗秩序。,安徽省,2021,0.445354988074404,public_health
保山市文明行为促进条例,ZmY4MDgxODE4NDQyMzJmNzAxODU3YTg1YzlhZTY1ZjA%3D,保山市人民代表大会常务委员会,2022-12-08T00:00:00Z,2023-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4NDQyMzJmNzAxODU3YTg1YzlhZTY1ZjA%3D,（一）遵守医疗规范；,云南省,2022,0.445264511221995,public_health
朔州市文明行为促进条例,ZmY4MDgxODE3OTFiODA3NzAxNzk4Y2Q4OGYxNjZjNTA%3D,朔州市人民代表大会常务委员会,2021-04-09T00:00:00Z,2021-05-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3OTFiODA3NzAxNzk4Y2Q4OGYxNjZjNTA%3D,（五）尊重医务人员和医学规律，配合开展诊疗活动，依法、有序、文明处理医疗纠纷；,山西省,2021,0.445094334619658,public_health
赤峰市文明行为促进条例,ZmY4MDgxODE4NDQyMzBlYzAxODUzZjJjYzhlZTJlYjg%3D,赤峰市人民代表大会常务委员会,2022-10-26T00:00:00Z,2022-11-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4NDQyMzBlYzAxODUzZjJjYzhlZTJlYjg%3D,第十七条  文明就医行医，遵守下列行为规范：,内蒙古自治区,2022,0.444531698574284,public_health
